position,name,rating,reviewCount,category,priceLevel,address,phone,website,hours,latitude,longitude,plusCode,profileUrl,scrapedAt
28,Gym Wolf San Jacinto,4.4,,Gimnasio,,,,,Cerrado,,,,https://www.google.com/maps/place/Gym+Wolf+San+Jacinto/data=!4m7!3m6!1s0x8428b39e50a02f21:0x5b308e3229aeb419!8m2!3d20.664419!4d-103.29421!16s%2Fg%2F11hz8m3v8v!19sChIJIS-gUJ6zKIQRGbSuKTKOMFs?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
29,TOTAL FITNESS 220 CHAPULTEPEC,4.5,,Gimnasio,,,,,Cerrado,,,,https://www.google.com/maps/place/TOTAL+FITNESS+220+CHAPULTEPEC/data=!4m7!3m6!1s0x8428afb319eec81f:0xaf4dd5e5d32fc654!8m2!3d20.6788514!4d-103.3702488!16s%2Fg%2F11y3jjx6tr!19sChIJH8juGbOvKIQRVMYv0-XVTa8?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
30,Station 24 Fitness Independencia,4.1,,Gimnasio,,"· Plaza Ubika Independencia, Calz. Independencia Norte 2655-local 33 y 34",,,Abierto las 24 horas,,,,https://www.google.com/maps/place/Station+24+Fitness+Independencia/data=!4m7!3m6!1s0x8428b1ad0d86e0e5:0x71b923a46d672fa8!8m2!3d20.7121514!4d-103.3224991!16s%2Fg%2F11f4lrd7kw!19sChIJ5eCGDa2xKIQRqC9nbaQjuXE?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
31,Gimnasio Smart Fit - Midtown,4.5,,Gimnasio,,,,,Cerrado,,,,https://www.google.com/maps/place/Gimnasio+Smart+Fit+-+Midtown/data=!4m7!3m6!1s0x8428af4ba1a6d7f5:0xb5f8da2449f3fb11!8m2!3d20.6955472!4d-103.3760775!16s%2Fg%2F11j8clqv66!19sChIJ9demoUuvKIQREfvzSSTa-LU?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
32,Planet Fitness Plaza del Ángel,4.2,,Gimnasio,,,,,· Cierra a las 11 p.m.,,,,https://www.google.com/maps/place/Planet+Fitness+Plaza+del+%C3%81ngel/data=!4m7!3m6!1s0x8428ad004e1de541:0xa685badb849a02b5!8m2!3d20.6569951!4d-103.397806!16s%2Fg%2F11lzdn8w3p!19sChIJQeUdTgCtKIQRtQKahNu6haY?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
33,BROTHERS GYM,4.7,,Gimnasio,,,,,,,,,https://www.google.com/maps/place/BROTHERS+GYM/data=!4m7!3m6!1s0x8428ad91621a4b85:0x3f0f23b649466468!8m2!3d20.6343257!4d-103.37422!16s%2Fg%2F11tfzr22mf!19sChIJhUsaYpGtKIQRaGRGSbYjDz8?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
34,Station 24 Fitness Av. México,4.1,,Gimnasio,,"· Plaza Argos, Av. México 2539",,,Abierto las 24 horas,,,,https://www.google.com/maps/place/Station+24+Fitness+Av.+M%C3%A9xico/data=!4m7!3m6!1s0x8428ae134061088d:0x27f6dd1d9976b8a4!8m2!3d20.6789182!4d-103.3805031!16s%2Fg%2F1pyqpqwyr!19sChIJjQhhQBOuKIQRpLh2mR3d9ic?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
35,259 Fitness,4.9,,Gimnasio,,,,,Cerrado,,,,https://www.google.com/maps/place/259+Fitness/data=!4m7!3m6!1s0x8428ad0246b89dcf:0x55398db33879314a!8m2!3d20.6440571!4d-103.3629494!16s%2Fg%2F11x1_rlk_j!19sChIJz524RgKtKIQRSjF5OLONOVU?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
36,FITNESS 18VEINTIUNO,4.6,,Gimnasio,,,,,· Cierra a las 12 a.m.,,,,https://www.google.com/maps/place/FITNESS+18VEINTIUNO/data=!4m7!3m6!1s0x8428b1434ba1fe9d:0xdec19386c0a7c3c1!8m2!3d20.7021431!4d-103.3274904!16s%2Fg%2F11fj43j41_!19sChIJnf6hS0OxKIQRwcOnwIaTwd4?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
37,Sprint Training,4.7,,Gimnasio,,"· 44620, C. Colomos 2192","44620, C. Colomos 2192",,Cerrado,,,,https://www.google.com/maps/place/Sprint+Training/data=!4m7!3m6!1s0x8428ae3c9de5bc2d:0xa346b28fbf0d66c6!8m2!3d20.6929083!4d-103.372125!16s%2Fg%2F11c1xhjmg4!19sChIJLbzlnTyuKIQRxmYNv4-yRqM?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
38,World Group Gym Providencia,4.5,,Gimnasio,,,,,Cerrado,,,,https://www.google.com/maps/place/World+Group+Gym+Providencia/data=!4m7!3m6!1s0x8428ae3fa7ada5e9:0x32766ff7029bc2af!8m2!3d20.6889762!4d-103.3796609!16s%2Fg%2F1tm0tgr5!19sChIJ6aWtpz-uKIQRr8KbAvdvdjI?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
39,TRX CROSS 24,4.4,,Centro deportivo,,,,,,,,,https://www.google.com/maps/place/TRX+CROSS+24/data=!4m7!3m6!1s0x8428b24775f0cc31:0x16c7a33c88a289f2!8m2!3d20.6427363!4d-103.3272296!16s%2Fg%2F11cr_5stz7!19sChIJMczwdUeyKIQR8omiiDyjxxY?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
40,EFFORT GYM,4.5,,Gimnasio,,,,,Cerrado,,,,https://www.google.com/maps/place/EFFORT+GYM/data=!4m7!3m6!1s0x8428b3c942dc4421:0x5299478196116c9a!8m2!3d20.6527133!4d-103.2950506!16s%2Fg%2F11g022dvjb!19sChIJIUTcQsmzKIQRmmwRloFHmVI?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
41,Station 24 Fitness Circunvalación,4,,Gimnasio,,"· Av. Cvln. División del Nte. 273-Local 2,3",,,Abierto las 24 horas,,,,https://www.google.com/maps/place/Station+24+Fitness+Circunvalaci%C3%B3n/data=!4m7!3m6!1s0x8428b1b8788f6373:0xb5ec8c255895207b!8m2!3d20.6990846!4d-103.3354919!16s%2Fg%2F11byp69rf9!19sChIJc2OPeLixKIQReyCVWCWM7LU?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
42,Pepes Gym,4.8,,Gimnasio,,,,,Cerrado,,,,https://www.google.com/maps/place/Pepes+Gym/data=!4m7!3m6!1s0x8428b193bdc04a0d:0x88c84b6b4f4aec64!8m2!3d20.682676!4d-103.3318785!16s%2Fg%2F1tj73xyd!19sChIJDUrAvZOxKIQRZOxKT2tLyIg?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
43,Onfit Sport Center,4.5,,Gimnasio,,,,,Cerrado,,,,https://www.google.com/maps/place/Onfit+Sport+Center/data=!4m7!3m6!1s0x8428b1bb0055ff11:0xed999d9c29ab6512!8m2!3d20.6992625!4d-103.3267947!16s%2Fg%2F11bzz1_m6b!19sChIJEf9VALuxKIQREmWrKZydme0?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
44,World Center Fitness,4.6,,Gimnasio,,,,,Cerrado,,,,https://www.google.com/maps/place/World+Center+Fitness/data=!4m7!3m6!1s0x8428b16420321cf1:0x5992269b876e5273!8m2!3d20.6788641!4d-103.2996855!16s%2Fg%2F11g0j467lk!19sChIJ8RwyIGSxKIQRc1Juh5smklk?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
45,Be fit,4.5,,Gimnasio,,,,,Cerrado,,,,https://www.google.com/maps/place/Be+fit/data=!4m7!3m6!1s0x8428b3e9e6a91b4f:0xfe6b586c8bf3257f!8m2!3d20.6690386!4d-103.2937764!16s%2Fg%2F11fhnkj28w!19sChIJTxup5umzKIQRfyXzi2xYa_4?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
46,Black Tigers Gym,4.7,,Gimnasio,,,,,Cerrado,,,,https://www.google.com/maps/place/Black+Tigers+Gym/data=!4m7!3m6!1s0x8428b3c55ed80a99:0x846037ef53d66c1!8m2!3d20.6574608!4d-103.3306091!16s%2Fg%2F11fncvqsrb!19sChIJmQrYXsWzKIQRwWY99X4DRgg?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
47,Gimnasio Sparta Sport Center Guadalajara,4,,Gimnasio,,"· Av. de Eduardo Guitián, 13-19",,,Cierra pronto,,,,https://www.google.com/maps/place/Gimnasio+Sparta+Sport+Center+Guadalajara/data=!4m7!3m6!1s0xd43abaf299e21ed:0xadda83c8b6e765b7!8m2!3d40.62195!4d-3.1655!16s%2Fg%2F11t4mk256h!19sChIJ7SGeKa-rQw0Rt2XntsiD2q0?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
48,Sport fresno,4.9,,Gimnasio,,,,,Cerrado,,,,https://www.google.com/maps/place/Sport+fresno/data=!4m7!3m6!1s0x8428ad0045b98767:0x9bda9e32ed49a141!8m2!3d20.6584319!4d-103.3752636!16s%2Fg%2F11vt527q00!19sChIJZ4e5RQCtKIQRQaFJ7TKe2ps?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
49,CENTER GYM,3.8,,Gimnasio,,,,,Cerrado,,,,https://www.google.com/maps/place/CENTER+GYM/data=!4m7!3m6!1s0x8428b1e595abf63f:0x2167369d08bb27f2!8m2!3d20.6814225!4d-103.3485988!16s%2Fg%2F1tqyftvc!19sChIJP_arleWxKIQR8ie7CJ02ZyE?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
50,Urbangym,4.5,,Gimnasio,,,,,Cerrado,,,,https://www.google.com/maps/place/Urbangym/data=!4m7!3m6!1s0x8428b1780402e927:0xf2bc7bdf47adb67d!8m2!3d20.7001686!4d-103.3427675!16s%2Fg%2F11q4jfxbgy!19sChIJJ-kCBHixKIQRfbatR997vPI?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
